"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ASV95";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV96";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV97";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV98";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Butyricicoccaceae";"UCG-009";NA
"ASV99";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"[Eubacterium] coprostanoligenes group";NA;NA
"ASV100";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"UCG-010";NA;NA
"ASV101";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV102";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV103";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV104";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Colidextribacter";NA
"ASV105";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV106";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV107";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Roseburia";NA
"ASV108";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV109";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnoclostridium";NA
"ASV110";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae UCG-006";NA
"ASV111";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV112";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV113";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV114";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"GCA-900066575";NA
"ASV115";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"UBA1819";NA
"ASV116";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV117";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Colidextribacter";NA
"ASV118";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV119";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Roseburia";NA
"ASV120";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Colidextribacter";NA
"ASV121";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV122";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV123";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae UCG-006";NA
"ASV124";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Roseburia";NA
"ASV125";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Intestinimonas";NA
"ASV126";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";NA;NA
"ASV127";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Frisingicoccus";"caecimuris"
"ASV128";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV129";"Bacteria";"Actinobacteriota";"Coriobacteriia";"Coriobacteriales";"Eggerthellaceae";"Enterorhabdus";NA
"ASV130";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV131";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"[Eubacterium] coprostanoligenes group";NA;NA
"ASV132";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV133";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV134";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Dorea";NA
"ASV135";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV136";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV137";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Ruminococcus";NA
"ASV138";"Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Peptostreptococcaceae";"Romboutsia";"ilealis"
"ASV139";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV140";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"UBA1819";NA
"ASV141";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV142";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV143";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV144";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV145";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV146";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV147";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV148";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV149";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV150";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV151";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV152";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV153";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV154";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV155";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV156";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Roseburia";NA
"ASV157";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV158";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Incertae Sedis";NA
"ASV159";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV160";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnoclostridium";NA
"ASV161";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV162";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV163";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV164";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Roseburia";NA
"ASV165";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV166";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Roseburia";NA
"ASV167";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV168";"Bacteria";"Actinobacteriota";"Coriobacteriia";"Coriobacteriales";"Eggerthellaceae";"Enterorhabdus";NA
"ASV169";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae UCG-006";NA
"ASV170";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae";"Clostridium sensu stricto 1";NA
"ASV171";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV172";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV173";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Incertae Sedis";NA
"ASV174";"Bacteria";"Actinobacteriota";"Coriobacteriia";"Coriobacteriales";"Eggerthellaceae";"Enterorhabdus";NA
"ASV175";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";NA;NA
"ASV176";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"[Eubacterium] siraeum group";NA
"ASV177";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group";NA
"ASV178";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV179";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Intestinimonas";NA
"ASV180";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV181";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"NK4A214 group";NA
"ASV182";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"GCA-900066575";NA
"ASV183";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Roseburia";NA
"ASV184";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";NA;NA;NA
"ASV185";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV186";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV187";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnoclostridium";NA
"ASV188";"Bacteria";"Firmicutes";"Clostridia";"Monoglobales";"Monoglobaceae";"Monoglobus";NA
"ASV189";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Colidextribacter";NA
"ASV190";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV191";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Incertae Sedis";NA
"ASV192";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV193";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV194";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Ruminococcus";NA
"ASV195";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Colidextribacter";NA
"ASV196";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV197";"Bacteria";"Actinobacteriota";"Coriobacteriia";"Coriobacteriales";NA;NA;NA
"ASV198";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"UCG-010";NA;NA
"ASV199";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Paludicola";NA
"ASV200";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV201";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV202";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV203";"Bacteria";"Cyanobacteria";"Vampirivibrionia";"Gastranaerophilales";NA;NA;NA
"ASV204";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV205";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Incertae Sedis";NA
"ASV206";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV207";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Colidextribacter";NA
"ASV208";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Defluviitaleaceae";"Defluviitaleaceae UCG-011";NA
"ASV209";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Colidextribacter";NA
"ASV210";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Intestinimonas";NA
"ASV211";"Bacteria";"Firmicutes";"Clostridia";NA;NA;NA;NA
"ASV212";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV213";"Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Anaerovoracaceae";"Anaerovorax";NA
"ASV214";"Bacteria";"Firmicutes";"Clostridia";"Clostridia vadinBB60 group";NA;NA;NA
"ASV215";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV216";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV217";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae UCG-006";NA
"ASV218";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"UCG-005";NA
"ASV219";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Colidextribacter";NA
"ASV220";"Bacteria";"Firmicutes";"Clostridia";"Clostridia vadinBB60 group";NA;NA;NA
"ASV221";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV222";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV223";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV224";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Intestinimonas";NA
"ASV225";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"ASV226";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Marvinbryantia";NA
"ASV227";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV228";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV229";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"NK4A214 group";NA
"ASV230";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA;NA
"ASV231";"Bacteria";"Firmicutes";"Clostridia";"Christensenellales";"Christensenellaceae";NA;NA
"ASV232";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV233";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"[Eubacterium] coprostanoligenes group";NA;NA
"ASV234";"Bacteria";"Actinobacteriota";"Coriobacteriia";"Coriobacteriales";"Eggerthellaceae";"Enterorhabdus";NA
"ASV235";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"NK4A214 group";NA
"ASV236";"Bacteria";"Firmicutes";"Clostridia";"Clostridia UCG-014";NA;NA;NA
"ASV237";"Bacteria";"Actinobacteriota";"Coriobacteriia";"Coriobacteriales";"Eggerthellaceae";"Enterorhabdus";NA
"ASV238";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"[Eubacterium] xylanophilum group";NA
